2017-11-01 13:59:36,402 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-11-01 14:00:52,969 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.seleniumpractice:com.seleniumpractice.first:0.0.1-SNAPSHOT @ D:\Git Repository\SeleniumProject\SeleniumProject\pom.xml.
2017-11-01 14:01:06,929 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 14:01:06,960 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-11-01 14:01:06,991 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 14:01:07,007 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 14:05:21,531 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: seleniumpractice.org:seleniumpractice:0.0.1-SNAPSHOT @ D:\Git Repository\SeleniumProject\SeleniumProject\pom.xml.
2017-11-01 14:05:23,014 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 14:05:23,061 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 14:05:23,061 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 14:05:23,076 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 14:06:52,907 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 14:06:52,969 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-11-01 14:06:53,000 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 14:06:53,002 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 15:08:31,272 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-11-01 15:08:39,638 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Git Repository\SeleniumProject\SeleniumProject
2017-11-01 15:08:39,638 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B Test
2017-11-01 15:09:23,388 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Git Repository\SeleniumProject\SeleniumProject
2017-11-01 15:09:23,388 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2017-11-01 15:11:01,419 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 15:11:01,419 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 15:11:01,434 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 15:11:01,434 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 15:11:20,464 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: seleniumpractice.org:seleniumpractice:0.0.1-SNAPSHOT @ D:\Git Repository\SeleniumProject\SeleniumProject\pom.xml.
2017-11-01 15:11:21,459 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 15:11:21,464 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 15:11:21,469 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 15:11:21,471 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 15:11:32,711 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Git Repository\SeleniumProject\SeleniumProject
2017-11-01 15:11:32,711 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2017-11-01 15:12:28,562 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 15:12:28,562 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-01 15:12:28,562 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-01 15:12:28,562 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
